CORREÇÕES APLICADAS,Carimbo de data/hora,Entendendo o teor do todo aqui mencionado e compreendido a natureza e o objetivo,Especialidade,Graduado há quanto tempo?,Em sua vivência clínica os homens ainda procuram os médicos em último caso?,Com que frequência os pacientes procuram atendimento clínico em relação a infert,Qual a principal queixa do paciente ao procurar o médico em relação a suspeita d,Em relação a infertilidade masculina qual o maior cofator na sua prática clínica,"Caso tenha marcado acima IST, especificar:","Caso tenha marcado acima DOENÇAS CARDIOVASCULARES, especificar:","Caso tenha marcado acima TRAUMAS, especificar:","Caso tenha marcado acima DOENÇAS GENÉTICAS, especificar:","Caso tenha marcado acima MEDICAMENTO DE USO CONTÍNUO, especificar:","Caso tenha marcado acima EXPOSIÇÃO A COMPONENTE QUÍMICO, especificar:","Caso tenha marcado acima ENDOCRINOPATIAS, especificar:",Quais exames clínicos e laboratoriais auxiliam no diagnóstico precoce da inferti,Com qual frequência os homens realizam todos os exames médicos solicitados?,"Pacientes considerados inférteis, após tratamento e acompanhamento médico, conse",A ansiedade e depressão contribuem para infertilidade masculina? ,"Na sua opinião médica, ansiolíticos e antidepressivos contribuem para infertilid",Na sua opinião médica é indicado acompanhamento psicológico/psiquiátrico para ho,Com qual frequência é indicado tratamento psicológico em casos de infertilidade ,Com qual frequência é indicado tratamento psiquiátrico em casos de infertilidade,Já realizou tratamento para infertilidade conjugal?,Na sua opinião profissional o custo do tratamento para infertilidade conjugal po,"Afirmo que as declarações acima são verídicas, não cabendo ao profissional nenhu"
'Qual a principal queixa do pac': gibberish removido; Cofator inválido 'xzcxczzcxzczc' removido; 'Caso tenha marcado acima DOENÇ': gibberish removido; 'Caso tenha marcado acima TRAUM': gibberish removido; 'Caso tenha marcado acima DOENÇ': gibberish removido,2024-09-10 16:58:02.656000,Aceito,"Urologia, Ginecologia",6-10 anos,Sim,Moderadamente,,"Hipertensão, Tabaco, Metadona, Trauma, Exposição a componente químico",,,,,,,,Exames de sangue,Esporadicamente,Moderadamente,Não tive nenhum caso,Sim,Sim,Razoavelmente,Esporadicamente,Não,Não,Aceito
Nenhuma,2024-10-23 20:15:50.391000,Aceito,Ginecologia,10-15 anos,Sim,Moderadamente,Desejo da mulher ,Medicamento de uso contínuo,,,,,,,,Espermograma,Esporadicamente,Moderadamente,Não,Sim,Sim,Esporadicamente,Moderadamente,Sim,Sim,Aceito
Nenhuma,2025-01-30 17:02:58.660000,Aceito,Urologia,Mais de 20 anos,Sim,Esporadicamente,Coloca a culpa na companheira,"Hipertensão, Tabaco, Álcool, Medicamento de uso contínuo",,,,,Dudasterida,,,Espermograma,Esporadicamente,Esporadicamente,Sim,Sim,Sim,Moderadamente,Esporadicamente,Sim,Sim,Aceito
Nenhuma,2025-01-30 17:13:13.169000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Não consegue manter a ereção,"Hipertensão, Tabaco, Álcool, IST", podem causar inflamação nos órgãos genitais,,,,Alguns medicamentos podem causar infertilidade masculina,,,"Espermograma, Exames de sangue",Esporadicamente,Moderadamente,Sim,Sim,Sim,Moderadamente,Razoavelmente,Sim,Sim,Aceito
Nenhuma,2025-01-30 17:19:11.249000,Aceito,Ginecologia,Mais de 20 anos,Sim,Esporadicamente,Disfunção erétil,"Hipertensão, Tabaco, Álcool, Obesidade, IST",guando não tratadas corretamente,,,,Alguns medicamentos podem causar infertilidade,,,"Espermograma, Exames de sangue",Esporadicamente,Moderadamente,Sim,Sim,Sim,Moderadamente,Razoavelmente,Sim,Sim,Aceito
Nenhuma,2025-02-14 17:06:33.445000,Aceito,Ginecologia,Mais de 20 anos,Sim,Esporadicamente,Geralmente após a parceira ser atendida em caso se infertilidade e o ginecologista solicitar avaliação do parceiro,"Varicocele, Álcool, Maconha, Uso excessivo de EAA, Obesidade",,,,,,,,Espermograma,Razoavelmente,Razoavelmente,Sim,Sim,Sim,Razoavelmente,Esporadicamente,Não,Sim,Aceito
Nenhuma,2025-02-15 21:19:07.661000,Aceito,Ginecologia,Mais de 20 anos,Sim,Frequentemente,Tempo de não conseguir naturalmente,Uso excessivo de EAA,,,,,,,,"Espermograma, Exames de sangue, Exames de imagem",Esporadicamente,Esporadicamente,Sim,Sim,Sim,Esporadicamente,Esporadicamente,Sim,Sim,Aceito
Nenhuma,2025-02-28 09:59:31.987000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Moderadamente,Falta de tesão sexual,"Álcool, Ansiedade excessiva",,,,,,,,"Espermograma, ",Esporadicamente,Moderadamente,Sim,Sim,Sim,Frequentemente,Frequentemente,Não,Não,Aceito
Nenhuma,2025-06-17 20:17:21.748000,Aceito,Clínica Médica,1-5 anos,Sim,Esporadicamente,Dor ao urinar,"Varicocele, Caxumba, Infeções Urinárias de repetição",,,,,,,,Espermograma,Esporadicamente,Razoavelmente,Sim,Sim,Sim,Esporadicamente,Esporadicamente,Não tive nenhum caso,Não tive nenhum caso,Aceito
Nenhuma,2025-06-18 17:33:56.608000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Esposa c mais de 2 anos sem engravidar ,"Tabaco, Álcool, Hiperplasia Benigna Prostática, Obesidade, Trauma, Medicamento de uso contínuo",,,Na bolsa escrotal,,,,,"Espermograma, Exames de imagem",Esporadicamente,Razoavelmente,Não tive nenhum caso,Não tive nenhum caso,Sim,Moderadamente,Razoavelmente,Não tive nenhum caso,Sim,Aceito
Nenhuma,2025-07-14 13:58:10.323000,Aceito,Clínica Médica,1-5 anos,Não,Razoavelmente,Não consegue engravidar,"Álcool, Trauma, Endocrinopatias",,,"Acidente, jogo de futebol",,,,,"Espermograma, Exames de sangue",Razoavelmente,Razoavelmente,Não tive nenhum caso,Não tive nenhum caso,Apenas terapia,,,Não tive nenhum caso,Não tive nenhum caso,Aceito
Nenhuma,2025-07-16 16:35:50.219000,Aceito,Clínica Médica,6-10 anos,Sim,Esporadicamente,Infertilidade,"Varicocele, Endocrinopatias",,,,,,,Hipogonadismo,Espermograma,Esporadicamente,Frequentemente,Sim,Não,Sim,Frequentemente,Frequentemente,Não,Sim,Aceito
Nenhuma,2025-07-17 10:30:26.323000,Aceito,Clínica Médica,15-20 anos,Sim,Esporadicamente,"Habitualmente, queixam-se quando a companheira está em investigação para infertilidade e eles são recomendados a investigar essa suspeita.","Álcool, Maconha, Exposição excessiva a aparelhos eletrônicos, Obesidade, IST, Endocrinopatias",Gonorreia ,,,,,,Hipogonadismo por suplementação de testosterona ,"Espermograma, Exames de sangue",Frequentemente,Razoavelmente,Sim,Não tive nenhum caso,Sim,Frequentemente,Razoavelmente,Não,Sim,Aceito
Nenhuma,2025-07-17 10:30:52.849000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Não conseguir ter filhos,Varicocele,,,,,,,,"Espermograma, Exames de sangue",Esporadicamente,Esporadicamente,Não,Não,Sim,Esporadicamente,Esporadicamente,Não,Sim,Aceito
Nenhuma,2025-07-17 11:33:38.226000,Aceito,Clínica Médica,1-5 anos,Sim,Esporadicamente,"No caso masculino, quando a companheira não encontrou um diagnóstico nela. Ou seja, após diversas tentativas de engravidar, após diversas consultas da mulher ao médico… somente após isso os homens costumam investigar infertilidade neles. ","Varicocele, Tabaco, Álcool, Cocaína, Doenças cariovasculares, Doenças genéticas",X,"Alterações em artérias, causando hipofluxo, hipóxia, morte celular ",,Síndrome de Klinefelter / Microdeleções do cromossomo Y (regiões AZF) / Fibrose Cística (mutação no gene CFTR) / Síndrome de Kartagener  / Síndrome de Noonan / Síndrome de Prader-Willi / Hemocromatose Hereditária / ,,,,"Espermograma, Exames de sangue, Exames de imagem",Esporadicamente,Esporadicamente,Sim,Não tive nenhum caso,Sim,Frequentemente,Razoavelmente,Sim,Sim,Aceito
Nenhuma,2025-07-17 11:33:52.823000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,"Buscar solucao junto à parceira, geralmente quando já nao apareceu solucao com ela.","Tabaco, Álcool",,,,,,,,"Espermograma, Exames de sangue, Peniscopia",Esporadicamente,Razoavelmente,Sim,Não tive nenhum caso,Sim,Frequentemente,Moderadamente,Não tive nenhum caso,Não tive nenhum caso,Aceito
Nenhuma,2025-07-17 12:53:09.029000,Aceito,Ginecologia,Mais de 20 anos,Sim,Esporadicamente,Falta de fertilidade no casal,"Varicocele, Hiperplasia Benigna Prostática, Neoplasias de testículo e próstata, Quimioterapia e radioterapia, Doenças cariovasculares, Endocrinopatias",,Angiopatia esclerosante,,,,,Diabetes com obesidade,Espermograma,Esporadicamente,Razoavelmente,Não tive nenhum caso,Não,Apenas terapia,,,Sim,Não,Aceito
Nenhuma,2025-07-17 14:10:22.970000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Esposa manda ,"Varicocele, Quimioterapia e radioterapia",,,,,,Quimioterapia,,Espermograma,Frequentemente,Razoavelmente,Não tive nenhum caso,Não tive nenhum caso,Não,,,Sim,Sim,Aceito
Nenhuma,2025-07-18 09:03:49.165000,Aceito,Clínica Médica,6-10 anos,Sim,Esporadicamente,"Impotência, ansiedade por não ter filhos e a idade","Varicocele, Hiperplasia Benigna Prostática, Obesidade, Medicamento de uso contínuo, Endocrinopatias",,,,,Antidepressivos,,,"Espermograma, Exames de sangue, Psicoterapia",Esporadicamente,Razoavelmente,Sim,Sim,Sim,Esporadicamente,Razoavelmente,Não,Não tive nenhum caso,Aceito
Nenhuma,2025-07-18 16:40:02.194000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Impotencia,"Hipertensão, Tabaco, Álcool, Hiperplasia Benigna Prostática, Obesidade, Doenças cariovasculares",,Insuficiencia Cardiaca e Doença Coronaria,,,,,,Espermograma,Razoavelmente,Razoavelmente,Sim,Sim,Sim,Moderadamente,Esporadicamente,Não,Sim,Aceito
Nenhuma,2025-07-21 15:42:42.083000,Aceito,Clínica Médica,1-5 anos,Sim,Razoavelmente,"Em geral, vem em consulta com a esposa que está tentando engravidar para realização de exames iniciais. Muitos demandam ativamente a realização de espermograma","Varicocele, Obesidade, Medicamento de uso contínuo, Endocrinopatias",,Doença arterial coronariana ,,,Inibidores seletivos de recaptacao de serotonina,,Diabetes e hipotireoidismo ,"Espermograma, Exames de sangue",Razoavelmente,Razoavelmente,Sim,Sim,Não,,,Sim,Sim,Aceito
Nenhuma,2025-07-21 15:47:15.479000,Aceito,Clínica Médica,1-5 anos,Sim,Esporadicamente,"Dos homens, normalmente são queixas da companheira que levam a buscar atendimento médico ","Tabaco, Álcool, Maconha, Cocaína, Neoplasias de testículo e próstata, Quimioterapia e radioterapia, Exposição a componente químico",,,,,,,,"Espermograma, Exames de sangue, Exames de imagem",Esporadicamente,Esporadicamente,Não tive nenhum caso,Não tive nenhum caso,Sim,Razoavelmente,Razoavelmente,Sim,Sim,Aceito
Nenhuma,2025-07-26 19:09:55.706000,Aceito,Clínica Médica,Mais de 20 anos,Sim,Esporadicamente,Não consegue engravidar ,"Varicocele, Tabaco, Álcool, Obesidade",,,,,,,,"Espermograma, Exames de sangue, Exames de imagem, Peniscopia",Esporadicamente,Esporadicamente,Não tive nenhum caso,Não tive nenhum caso,Sim,Moderadamente,Razoavelmente,Não,Sim,Aceito
Nenhuma,2025-07-28 13:29:45.738000,Aceito,Clínica Médica,1-5 anos,Sim,Moderadamente,Brocha,"Tabaco, Álcool, Quimioterapia e radioterapia, Uso excessivo de EAA, Depressão ",,,,,,,,"Exames de sangue, Peniscopia",Esporadicamente,Esporadicamente,Sim,Sim,Sim,Moderadamente,Moderadamente,Sim,Sim,Aceito
