STATUS,CORREÇÕES APLICADAS,Carimbo de data/hora,Pontuação,Entendendo o teor do todo aqui mencionado e compreendido a natureza e o objetivo,Graduado há quanto tempo?,Homens com diagnóstico de infertilidade procuram apoio psicológico/psiquiátrico?,Porque?,Com que frequência os pacientes procuram atendimento psicológico e psiquiátrico ,Médicos: Qual a principal queixa do paciente ao procurar um psiquiatra com diagn,Psicólogos: Qual a principal queixa do paciente ao procurar um psicólogo com dia,Com que frequência solicitam exames laboratoriais para ajudar no tratamento do p,Em sua vivência clínica a ansiedade pode causar infertilidade masculina? ,Qual a frequência? ,Em sua vivência clínica a depressão pode causar infertilidade masculina? ,Qual a frequência?  2,Em sua vivência clínica o estresse pode causar infertilidade masculina? ,Qual a frequência?  3,Na sua opinião profissional ansiolíticos e antidepressivos contribuem para infer,Qual(is) medicamento(s),É indicado acompanhamento psicológico/psiquiátrico para homens que recebem o dia,É indicado terapia conjugal em casos de infertilidade masculina?,Em sua vivência clínica pode ocorrer impacto psicológico ao casal com o diagnóst,Pode levar o fim do relacionamento conjugal com o diagnóstico de infertilidade  ,Em sua vivência clínica pode ocorrer impacto psicológico ao casal?,Em sua vivência clínica quanto tempo o paciente precisa de acompanhamento psicol,Em sua vivência clínica pacientes que realizam tratamento por reprodução assisti,"Os pacientes que realizam tratamentos por reprodução assistida, apresentam comum","Afirmo que as declarações acima são verídicas, não cabendo ao profissional nenhu"
✅ VÁLIDO,Nenhuma,2024-10-16 19:19:26.810000,0,Aceito,Mais de 20 anos,Sim,Baixa autoestima e/ou problemas no relacionamento afetivo,Esporadicamente,Não informado.,Dificuldades no relacionamento afetivo ou Depressão após o diagnóstico de infertilidade.,Moderadamente,Sim,Esporadicamente,Sim,Esporadicamente,Sim,Esporadicamente,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, tristeza, raiva, culpa, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2024-10-21 21:35:41.301000,0,Aceito,1-5 anos,Sim,Em minha experiência já atendi um homem que procurou ajuda psicológica para lidar com o processo de adoção no qual se inscreveu por ser infértil e ter o sonho de ser pai.,Esporadicamente,Não informado ,Sensação de impotência e frustração. ,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,1 ano,Sim,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2024-10-21 21:50:26.408000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,"1 ano, 2-5anos",Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2024-10-21 22:17:52.511000,0,Aceito,1-5 anos,Não,,Esporadicamente,Não informado ,"A principal queixa é de ""Deixar Frutos"", alguém com quem contar na velhice, um amparo ou um sonho que não se realiza. ",Razoavelmente,Sim,Moderadamente,Sim,Moderadamente,Sim,Frequentemente,Sim,Fluoxetina Sertralina  Paroxetina Citalopram Escitalopram Venlafaxina Duloxetina Risperidona Haloperidol Quetiapina Olanzapina  Clozapina Lítio Valproato de sódio Carbamazepina Lamotrigina Diazepam Alprazolam Clonazepam Lorazepam,Sim,Sim,Sim,Sim,Sim,2-5anos,Não tive nenhum caso,"frustação, tristeza, raiva, culpa, ansiedade",Aceito
✅ VÁLIDO,Nenhuma,2024-10-25 14:20:59.459000,0,Aceito,1-5 anos,Sim,,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,1 ano,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2024-10-25 14:56:18.762000,0,Aceito,Mais de 20 anos,Não,,Esporadicamente,Não informado,Não informado,Razoavelmente,Sim,Frequentemente,Sim,Frequentemente,Sim,Frequentemente,Sim,a maioria ,Sim,Sim,Sim,Sim,Sim,5-10 anos,Não,"frustação, tristeza, raiva, culpa, inquietação\agonia, surpreso, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,'Zopdem' corrigido para 'Zolpidem',2024-11-01 00:44:18.992000,0,Aceito,6-10 anos,Não,,Não tive nenhum caso até o momento.,,,Frequentemente,Sim,Esporadicamente,Sim,Razoavelmente,Sim,Esporadicamente,Sim,Zolpidem,Sim,Sim,Sim,Sim,Sim,1 ano,Sim,"frustação, tristeza, raiva, culpa, angústia, ansiedade",Aceito
✅ VÁLIDO,Nenhuma,2024-11-04 10:17:55.242000,0,Aceito,Mais de 20 anos,Sim,Hipótese de evento psicológico ,Esporadicamente,Não informado,Hipótese de falta de virilidade,Esporadicamente,Sim,Esporadicamente,Sim,Esporadicamente,Sim,Razoavelmente,Não,,Sim,Sim,Sim,Sim,Sim,1 ano,Não,"frustação, tristeza, raiva, culpa, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2024-12-06 18:11:54.143000,0,Aceito,1-5 anos,Sim,"Vários fatores: sentimento de inadequação, defectividade ou incompetência frente a infertilidade. No entanto, pode ser mais difícil a busca espontânea por atendimento psicológico, mais frequentemente encaminhado do especialista em reprodução humana ou outros profissionais. ",Razoavelmente,Não informado ,Não informado ,Razoavelmente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Não,Sim,Sim,Sim,1 ano,Sim,"frustação, tristeza, raiva, culpa, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-01-30 17:29:28.337000,0,Aceito,Mais de 20 anos,Sim,Porque foram encaminhados pelos medicos,Moderadamente,não informado,não conseguir manter a ereção,Frequentemente,Sim,Frequentemente,Sim,Moderadamente,Sim,Razoavelmente,Sim,"Tricíclicos, Inibidores da recaptação de norepinefrina, Inibidores da recaptação da serotonina (ISRS). ",Sim,Sim,Sim,Sim,Sim,1 ano,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-02-27 18:21:17.926000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Razoavelmente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,2-5anos,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-02-27 21:05:53.830000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Razoavelmente,Não tive nenhum caso,,Sim,Moderadamente,Sim,Moderadamente,Não tive nenhum caso,,Não,Não,Sim,Sim,Sim,2-5anos,Não,"frustação, surpreso, ansiedade",Aceito
✅ VÁLIDO,Nenhuma,2025-02-27 21:13:54.383000,0,Aceito,1-5 anos,Sim,"Acredito que a infertilidade pode levar um homem a muitos lugares que ele não quer estar. O fato da infertilidade gera um sofrimento não só pela possibilidade de não mais produzir a sua descendência no mundo, mas tbm o fato de lidar com uma terrível castração, uma impotência diante das demandas de uma sociedade que cobra justamente a produção. Procurar uma ajuda especializada, diante de tal sofrimento, para mim, seria algo necessário.",Não tive nenhum caso até o momento.,,,Moderadamente,Sim,Frequentemente,Sim,Frequentemente,Sim,Esporadicamente,Não,,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, tristeza, raiva, culpa, inquietação\agonia, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-02-27 22:44:52.386000,0,Aceito,6-10 anos,Não,,Esporadicamente,Não informado ,"Insegurança, baixa autoestima, ansiedade e mesmo com orientação evita auxílio médico. ",Frequentemente,Sim,Frequentemente,Sim,Razoavelmente,Não,,Sim,"Bupropiona, desvenfalaxina ",Apenas terapia,Não tive nenhum caso até o momento.,Sim,Não,Sim,1 ano,Não,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-03-02 20:55:42.310000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Frequentemente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,1 ano,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-03-13 16:36:53.358000,0,Aceito,Mais de 20 anos,Sim,Atualmente este tema vem sendo tratado com mais normalidade,Moderadamente,"Acho que o psiquiatra é secundário, geralmente a procura é por um Clínico geral para avaliar outros fatores",Muitos trazem a questão da autoestima como fator principal,Frequentemente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, tristeza, raiva, culpa, inquietação\agonia, surpreso, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-04-29 19:34:08.292000,0,Aceito,Mais de 20 anos,Sim,O problema da infertilidade mexe com a autoestima do homem ,Esporadicamente,Não informado,Medo do divórcio ,Razoavelmente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-04-29 20:22:10.634000,0,Aceito,6-10 anos,Não,,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Sim,2-5anos,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-04-30 08:37:49.106000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,1 ano,Não tive nenhum caso,"frustação, raiva, culpa, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-05-10 16:49:10.570000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Esporadicamente,Sim,Razoavelmente,Sim,Moderadamente,Sim,Razoavelmente,Não,,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, tristeza, raiva, culpa",Aceito
✅ VÁLIDO,Nenhuma,2025-05-10 18:56:30.493000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,2-5anos,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-08-08 22:23:14.432000,0,Aceito,15-20 anos,Não,,Esporadicamente,geralmente iniciam por questoes no relacionamento ou ansiedade pra depois falar do assunto,geralmente iniciam por questoes no relacionamento ou ansiedade pra depois falar do assunto,Frequentemente,Não,,Sim,Esporadicamente,Sim,Esporadicamente,Sim,"não sei dizer exatamente quais, mas já tive casos em reações comuns",Sim,Sim,Sim,Não tive nenhum caso até o momento.,Sim,2-5anos,Sim,"frustação, tristeza, culpa, angústia, ansiedade, depressão",Aceito
✅ VÁLIDO,Nenhuma,2025-08-12 09:46:09.178000,0,Aceito,10-15 anos,Não,,Esporadicamente,Não informado ,Baixa autoestima; sentimento de incompletude; insegurança em relação a companheira,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,1 ano,Não tive nenhum caso,não tive nenhum caso até o momento.,Aceito
✅ VÁLIDO,Nenhuma,2025-11-10 20:53:19.372000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Moderadamente,Sim,Moderadamente,Sim,Moderadamente,Sim,Moderadamente,Sim,Não sei,Sim,Sim,Sim,Sim,Sim,1 ano,Sim,"frustação, tristeza, culpa, ansiedade, depressão",Aceito
⛔ EXCLUÍDO,EXCLUÍDO — marcou 'Não Aceito' no TCLE final,2025-11-10 22:17:23.900000,0,Aceito,1-5 anos,Sim,.,Não tive nenhum caso até o momento.,,,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,1 ano,Não tive nenhum caso,não tive nenhum caso até o momento.,Não Aceito
⛔ EXCLUÍDO,EXCLUÍDO — marcou 'Não Aceito' no TCLE final,2025-11-11 11:09:48.325000,0,Aceito,1-5 anos,Não,,Não tive nenhum caso até o momento.,,,Razoavelmente,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Razoavelmente,Sim,"Vixe,nao sei ",Não tive nenhum caso até o momento.,Não tive nenhum caso até o momento.,Não tive nenhum caso,Não tive nenhum caso até o momento.,Não tive nenhum caso,1 ano,Não tive nenhum caso,"raiva, ansiedade, depressão",Não Aceito
✅ VÁLIDO,Nenhuma,2025-11-17 21:02:25.549000,0,Aceito,1-5 anos,Não,,Esporadicamente,nao informado,nao informado ,Razoavelmente,Sim,Esporadicamente,Não tive nenhum caso,,Não tive nenhum caso,,Não tive nenhum caso,,Sim,Sim,Sim,Sim,Sim,2-5anos,Não,culpa,Aceito
⛔ EXCLUÍDO,EXCLUÍDO — marcou 'Não Aceito' no TCLE final,2025-11-17 23:52:33.735000,0,Aceito,1-5 anos,Não,,Razoavelmente,Não informado ,Não informado ,Esporadicamente,Sim,Razoavelmente,Sim,Esporadicamente,Sim,Razoavelmente,Sim,Não sei informar ,Sim,Sim,Sim,Sim,Sim,2-5anos,Sim,"frustação, tristeza, raiva, culpa, inquietação\agonia, surpreso, angústia, ansiedade, depressão",Não Aceito
